FILENAME	ALIGNMENT_ID	NAME
40004018.csv	10	Peter
40008014.csv	1	Peter
40010002.csv	4	Peter
40014028.csv	10	Peter
40014029.csv	11	Peter
40015015.csv	4	Peter
40016016.csv	7	Peter
40016018.csv	18	Peter
40016022.csv	7	Peter
40016023.csv	15	Peter
40017001.csv	10	Peter
40017004.csv	11	Peter
40017024.csv	8	Peter
40017026.csv	12	Peter
40018021.csv	16	Peter
40019027.csv	13	Peter
40026033.csv	9	Peter
40026035.csv	11	Peter
40026037.csv	6	Peter
40026040.csv	12	Peter
40026058.csv	7	Peter
40026069.csv	12	Peter
40026073.csv	15	Peter
40026075.csv	17	Peter
40002001.csv	12	Jerusalem
40002003.csv	3	Jerusalem
40003005.csv	4	Jerusalem
40004025.csv	8	Jerusalem
40005035.csv	10	Jerusalem
40015001.csv	7	Jerusalem
40016021.csv	18	Jerusalem
40020017.csv	4	Jerusalem
40020018.csv	10	Jerusalem
40021001.csv	8	Jerusalem
40021010.csv	8	Jerusalem
40023037.csv	4	Jerusalem
40023037.csv	24	Jerusalem
